product_id,name,price,quantity,category,description,production_date,expiration_date,rating,status
46,Тан,1502,559,Молочные продукты,"Помогает поддерживать нормальный уровень норадреналина, гормона, влияющего на настроение и поведение.",1996-01-02,2028-01-06,4.92,Shipping
47,Плечо,1150,708,Мясо,"Помогает поддерживать нормальный уровень дофамина, гормона, отвечающего за мотивацию и удовольствие.",2004-01-02,2008-01-13,3.87,Pending
48,Патиссон,6128,342,Овощи,Прошел сертификацию на соответствие требованиям органических стандартов.,1995-06-09,2016-01-25,4.26,In Stock
49,Клинская,5847,553,Напитки,Отличается высокой эффективностью в борьбе с анемией благодаря содержанию железа.,1994-03-03,2000-01-22,1.05,Available for Pickup
50,Душистый перец горошком,8241,440,Бакалея,"Популярен среди спортсменов и людей, ведущих активный образ жизни.",1994-05-01,1997-04-20,1.03,On Backorder
51,Моющее средство для стекол,7434,596,Товары для дома,Представляет собой ценный источник питательных веществ для растущего организма.,2020-09-11,2025-02-03,2.32,Backorder
52,"Специи (перец, куркума, зира)",2384,587,Бакалея,Отличается хорошей совместимостью с другими продуктами питания.,2022-05-03,2026-01-01,1.25,Awaiting Payment
53,Авокадо,6177,203,Фрукты,"Является источником важных микроэлементов, таких как магний и калий.",1992-02-26,2001-06-05,5.01,Delivered
54,Камамбер,9589,117,Молочные продукты,Прошел клинические испытания и рекомендован специалистами в области здравоохранения.,2002-01-23,2016-04-01,4.61,New
55,Айран,6240,398,Напитки,Помогает поддерживать нормальный уровень тестостерона у мужчин.,2011-05-01,2018-03-01,1.38,On Backorder
56,Брокколи,8828,269,Овощи,Отличается высоким уровнем биологической доступности питательных веществ.,2016-01-12,2028-03-08,2.54,Out of Stock
57,Жемчужина Байкала,6979,866,Напитки,"Отличается низким содержанием натрия, что делает его безопасным для гипертоников.",2016-02-03,2026-03-01,2.52,Sold
58,Грудинка копченая,4103,309,Мясо,Отличается высокой степенью адаптации к индивидуальным потребностям организма.,2002-04-19,2025-02-22,3.69,In Stock
59,Крыжовник,6994,943,Фрукты,"Отличается высоким содержанием антоцианов, пигментов, обладающих антиоксидантными и противовоспалительными свойствами.",1999-01-17,2021-06-01,2.98,On Backorder
60,Мультиварка,664,997,Товары для дома,"Отличается высоким содержанием хрома, необходимого для регуляции уровня сахара в крови.",2022-02-28,2024-03-05,4.67,Out of Stock
61,Кровяная колбаса,4014,876,Мясо,"Отличается устойчивостью к температурным изменениям, что облегчает хранение.",2021-07-07,2029-05-07,0.05,New
62,Щавель,1348,293,Овощи,Помогает предотвратить дефицит витаминов и минералов в организме.,2013-03-16,2023-08-07,1.65,Delivered
63,Гвоздика молотая,5310,132,Бакалея,Прошел независимые лабораторные исследования и получил положительные отзывы экспертов.,2021-06-01,2029-01-05,4.02,Refunded
64,Грейпфрут,9392,316,Фрукты,"Помогает поддерживать нормальный уровень серотонина, гормона счастья.",1990-02-02,2026-03-15,2.24,Refunded
65,Нектарин,2742,370,Фрукты,"Отличается высоким содержанием пиридоксина, необходимого для синтеза нейромедиаторов.",2009-03-14,2020-01-01,3.59,In Stock
66,Красный перец чили молотый,7240,20,Бакалея,Помогает поддерживать нормальный уровень мочевой кислоты в организме.,1992-01-01,2025-04-06,3.15,On Backorder
67,Буженина,144,210,Мясо,"Отличается высоким содержанием эвгенола, вещества, обладающего обезболивающими и антисептическими свойствами.",2022-01-05,2024-05-02,2.55,Backorder
68,Сыворотка молочная,6276,499,Бакалея,"Отличается высоким содержанием калия, необходимого для нормальной работы сердца.",1992-01-04,1993-01-04,2.45,Shipping
69,Кунжут белый,8746,888,Бакалея,Рекомендуется для включения в рацион беременных женщин и кормящих матерей.,1994-07-02,2018-02-02,5.01,Sold
70,Дыня,6419,92,Фрукты,Помогает поддерживать нормальный уровень холестерина в крови.,1997-01-02,2000-02-02,1.12,Out of Stock
71,Сергиево-Посадская,3138,695,Напитки,Служит основой для создания множества кулинарных шедевров.,1992-01-02,2023-01-06,1.06,Temporarily Unavailable
72,Карбонад,9479,117,Мясо,"Помогает поддерживать здоровую кожу, волосы и ногти благодаря содержанию биотина.",2008-05-06,2023-06-01,2.35,Returned
73,Пакеты для путешествий,5356,234,Товары для дома,"Отличается высоким содержанием эллаговой кислоты, вещества, обладающего противораковыми свойствами.",2016-01-03,2029-07-02,3.97,Temporarily Unavailable
74,Каша из дробленной овсянки,4770,688,Бакалея,Помогает поддерживать нормальный уровень гомоцистеина в крови.,1998-02-09,2021-02-14,4.92,Temporarily Unavailable
75,Тан,9969,812,Молочные продукты,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2005-02-08,2007-03-16,1.42,New
76,Лавровый лист,3005,805,Бакалея,"Популярен среди спортсменов и людей, ведущих активный образ жизни.",1998-02-06,2023-01-10,4.12,New
77,Помело,4703,501,Фрукты,"Отличается высоким содержанием оротовой кислоты, необходимой для синтеза ДНК и РНК.",2019-02-14,2026-04-02,0.25,Out of Stock
78,Сидр яблочный,8189,696,Напитки,"Отличается высоким содержанием L-карнозина, аминокислоты, полезной для мышц и мозга.",2016-05-04,2017-01-01,0.39,Out of Stock
79,Пакеты для подарков,4646,193,Товары для дома,Может быть использован в выпечке для придания ей особой пышности и аромата.,2017-02-05,2029-06-03,1.1,In Stock
80,Кабачок,2019,773,Овощи,"Отличается высоким содержанием кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2002-10-01,2024-01-01,2.46,Out of Stock
81,Эмменталь,4213,743,Молочные продукты,"Отличается высоким содержанием рибофлавина, необходимого для здоровья кожи и зрения.",2019-03-03,2022-03-04,4.77,Cancelled
82,Каша из дробленного риса,3474,128,Бакалея,Высокое содержание белка обеспечивает длительное чувство сытости и способствует поддержанию мышечной массы.,2015-02-13,2024-05-02,0.75,Delivered
83,Уксус,5235,307,Бакалея,Помогает поддерживать нормальный уровень эстрогенов у женщин.,1994-03-02,2008-02-03,4.16,New
84,Молочный шоколад,3374,15,Бакалея,"Является источником важных микроэлементов, таких как магний и калий.",1994-07-01,1995-07-05,0.94,Cancelled
85,Камамбер,8191,194,Молочные продукты,Широко используется в традиционной и современной кухне.,1995-01-18,2014-12-11,3.61,In Stock
86,Буррито с мясом,3232,304,Мясо,"Богат кальцием, необходимым для укрепления костей и зубов.",2014-01-03,2014-01-11,3.22,Temporarily Unavailable
87,Пакеты для конференции,2626,413,Товары для дома,Прошел все необходимые сертификации и соответствует международным стандартам.,2016-01-02,2029-01-16,2.38,Delivered
88,Каша из перловки,3841,603,Бакалея,"Производится из высококачественного сырья, что гарантирует его безопасность и пользу для здоровья.",1993-03-01,2010-08-21,4.77,Temporarily Unavailable
89,Пакеты для растений,2992,461,Товары для дома,Отличается высокими показателями усвояемости организмом.,2017-04-11,2021-01-10,2.43,Out of Stock
90,Тюменская,8157,343,Напитки,"Отличается высоким содержанием рибофлавина, необходимого для здоровья кожи и зрения.",1993-02-04,2017-05-01,1.47,Sold
91,Люберецкая,6569,696,Напитки,"Отличается высоким содержанием даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",1996-01-06,2003-01-16,1.16,Awaiting Payment
92,Малина,3590,418,Фрукты,"Отличается высоким содержанием ниацина, необходимого для здоровья кожи и пищеварения.",1993-02-12,2005-05-13,3.75,Cancelled
93,Утиная печень,8686,500,Мясо,"Помогает поддерживать нормальный уровень куркумина, вещества, обладающего противовоспалительными и антиоксидантными свойствами.",2000-04-18,2005-08-16,2.71,Refunded
94,Пакеты для библиотеки,7511,408,Товары для дома,"Отличается высоким содержанием нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",1996-03-15,2021-01-17,2.67,Available for Pickup
95,Пакеты для аукциона,5396,637,Товары для дома,Является неотъемлемой частью рациона многих народов мира.,1997-04-01,2005-11-01,4.55,On Backorder
96,Сырокопченая колбаса,8206,154,Мясо,Высокое содержание белка обеспечивает длительное чувство сытости и способствует поддержанию мышечной массы.,2018-01-12,2028-03-01,3.75,Delivered
97,Соль,6159,265,Бакалея,Поддерживает иммунитет и общее состояние здоровья.,2013-07-08,2026-04-01,3.75,Out of Stock
98,Редис,9343,901,Овощи,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",1990-04-03,1994-01-02,3.06,Out of Stock
99,Подставки под горячие блюда,3126,521,Товары для дома,Отличается гипоаллергенностью и безопасностью для большинства людей.,2015-01-02,2020-10-01,3.53,Delivered
100,Бастурма,1907,478,Мясо,"Является источником важных нутриентов, необходимых для роста и развития детей.",2017-02-05,2020-12-20,1.4,Backorder
101,Морковь,4821,924,Овощи,"Отличается высоким содержанием меди, необходимой для синтеза коллагена и эластина.",2000-06-03,2016-05-03,3.93,On Backorder
102,Донер-кебаб,4003,965,Мясо,"Помогает поддерживать нормальный уровень эритропоэтина, гормона, стимулирующего производство эритроцитов.",2004-05-06,2021-03-04,0.47,In Stock
103,Уксус,2323,895,Бакалея,"Является источником важных микроэлементов, таких как магний и калий.",2010-02-03,2028-05-03,3.14,On Backorder
104,Смородина,7293,509,Фрукты,"Отличается высоким содержанием нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2002-08-09,2027-04-18,1.18,Pending
105,Киви,9306,343,Фрукты,"Помогает поддерживать нормальный уровень эритропоэтина, гормона, стимулирующего производство эритроцитов.",1999-01-17,2002-02-09,1.52,Awaiting Review
106,Смузи бананово-клубничный,7036,144,Напитки,"Помогает поддерживать нормальный уровень метионина, аминокислоты, необходимой для детоксикации организма.",1996-03-16,1999-11-05,3.03,Temporarily Unavailable
107,Кольраби,5298,24,Овощи,"Отличается высоким содержанием меди, необходимой для синтеза коллагена и эластина.",2015-05-07,2018-08-01,1.73,Shipping
108,Молочный коктейль,2476,598,Напитки,Отличается высокой степенью очистки и отсутствия посторонних примесей.,2005-04-10,2014-02-04,0.37,On Backorder
109,Оленина,9410,302,Мясо,"Отличается высоким содержанием мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2015-02-18,2025-08-06,1.11,New
110,Ромштекс,150,504,Мясо,"Отличается высоким содержанием пробиотиков, улучшающих микрофлору кишечника.",1990-04-03,2007-07-05,0.5,Sold
111,Рамбутан,7873,614,Фрукты,"Отличается высоким содержанием витамина C, необходимого для здоровья кожи и иммунной системы.",1996-06-02,2015-02-04,3.87,Available for Pickup
112,7UP,1667,190,Напитки,Помогает поддерживать нормальный уровень электролитов в организме.,2006-05-06,2016-11-10,1.51,Refunded
113,Папайя,6426,554,Фрукты,"Отличается высоким содержанием холина, необходимого для здоровья мозга и памяти.",2020-01-19,2025-02-04,1.04,Out of Stock
114,Тартар,9969,181,Мясо,Улучшает настроение и общее самочувствие благодаря содержанию триптофана.,1997-07-25,2018-03-03,1.86,In Stock
115,Амарант семена,1190,418,Бакалея,Способствует укреплению иммунной системы благодаря содержанию пробиотиков.,2006-02-13,2030-02-06,0.5,New
116,Пакеты для Дня учителя,5056,361,Товары для дома,"Является источником важных микроэлементов, таких как магний и калий.",1997-01-06,2003-09-17,1.73,Cancelled
117,Цукини,4551,191,Овощи,"Отличается высоким содержанием катехинов, мощных антиоксидантов, полезных для сердца и сосудов.",2016-05-05,2017-01-06,4.28,Out of Stock
118,Портулак,6433,647,Овощи,"Помогает поддерживать нормальный уровень мелатонина, гормона сна.",2007-02-02,2014-01-05,2.01,Awaiting Review
119,Постельное белье,8792,593,Товары для дома,Помогает предотвратить развитие остеопороза благодаря высокому содержанию кальция.,2000-03-17,2021-01-13,4.59,New
120,Пакеты для тренинга,6988,543,Товары для дома,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",1994-04-14,2022-01-05,3.39,Shipping
121,Тыквенные семечки,3304,933,Бакалея,"Отличается высоким содержанием тиамина, необходимого для нормального функционирования нервной системы.",2009-01-09,2012-01-01,3.46,Shipping
122,Дезодорант,9136,214,Товары для дома,"Отличается высоким содержанием апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2019-01-01,2030-05-13,3.57,Out of Stock
123,Кольраби,1878,877,Овощи,Помогает поддерживать нормальный уровень гомоцистеина в крови.,2020-02-01,2022-02-04,2.21,Refunded
124,Масло подсолнечное,7325,712,Бакалея,"Отличается высоким содержанием цинка, необходимого для здоровой иммунной системы.",2007-04-05,2008-02-02,0.97,Delivered
125,Молоко,863,373,Молочные продукты,"Отличается высоким содержанием витамина C, необходимого для здоровья кожи и иммунной системы.",2018-02-09,2023-05-04,1.57,Refunded
126,Матрасы,9801,405,Товары для дома,Помогает поддерживать нормальный уровень мочевой кислоты в организме.,2010-02-13,2026-07-14,4.44,Shipping
127,Пастрома,3159,469,Мясо,"Отличается высоким содержанием витаминов группы D, необходимых для здоровья костей и иммунитета.",2021-02-02,2022-11-03,0.17,Temporarily Unavailable
128,Шадринская,8314,984,Напитки,Способствует улучшению работы пищеварительной системы.,2019-05-01,2030-03-08,3.92,Available for Pickup
129,Белый перец молотый,6741,834,Бакалея,"Помогает поддерживать нормальный уровень генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2019-01-02,2027-03-17,1.92,Awaiting Payment
130,Брокколи,8510,144,Овощи,Помогает регулировать уровень сахара в крови и предотвращать резкие скачки инсулина.,2000-08-01,2025-02-20,4.14,On Backorder
131,Матча латте,7047,499,Напитки,Помогает укреплять стенки сосудов и улучшать кровообращение.,2003-01-01,2006-04-09,2.75,Delivered
132,Белокуриха,9104,144,Напитки,Помогает поддерживать нормальный уровень холестерина в крови.,2019-01-02,2026-01-07,3.69,Awaiting Review
133,Черный перец горошком,460,813,Бакалея,"Отличается высоким содержанием пребиотиков, способствующих здоровью кишечника.",2020-03-14,2021-07-10,1.88,Shipping
134,Молоко,4269,535,Молочные продукты,"Отличается высоким содержанием пикногенола, мощного антиоксиданта, полезного для кожи и сосудов.",2022-05-03,2030-01-16,1.05,Awaiting Payment
135,Открывалка для бутылок,8655,964,Товары для дома,Отличается гипоаллергенностью и безопасностью для большинства людей.,1997-02-03,2014-01-04,2.1,Backorder
136,Батат,3738,957,Овощи,"Отличается высоким содержанием ненасыщенных жирных кислот, полезных для сердца.",2000-02-25,2002-04-05,0.24,In Stock
137,Йогурт питьевой,5150,104,Напитки,"Натуральный продукт, богатый витаминами и минералами, необходимыми для поддержания здоровья.",1990-06-04,1998-04-04,0.47,Out of Stock
138,Петрушка корневая,2089,935,Овощи,"Помогает поддерживать нормальный уровень нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",1999-03-19,2016-02-10,4.9,Awaiting Payment
139,Щавель,403,57,Овощи,"Обладает приятным вкусом и мягкой текстурой, что делает его популярным выбором среди потребителей.",2019-06-01,2025-01-04,4.55,Sold
140,Баклажан,4253,206,Овощи,Прошел строгий контроль качества на всех этапах производства.,2010-06-06,2027-01-14,4.59,On Backorder
141,Помело,876,570,Фрукты,"Помогает поддерживать нормальный уровень норадреналина, гормона, влияющего на настроение и поведение.",1999-01-17,2027-02-10,4.98,Shipping
142,Щавель,4427,13,Овощи,"Отличается высоким содержанием эллаговой кислоты, вещества, обладающего противораковыми свойствами.",2022-01-25,2022-03-19,0.47,Out of Stock
143,Укроп,7949,200,Овощи,Помогает нормализовать артериальное давление и уровень холестерина.,2011-02-03,2020-03-05,1.68,New
144,Петрушка корневая,8117,347,Овощи,Подходит для использования в диетических программах для похудения.,1995-11-24,2015-08-07,3.93,Pending
145,Индюшатина,3159,277,Мясо,"Имеет длительный срок хранения, что позволяет всегда иметь его под рукой.",2015-01-07,2030-10-06,2.57,Shipping
146,Vittel,2026,504,Напитки,"Является источником важных нутриентов, необходимых для роста и развития детей.",2012-02-15,2016-08-11,3.98,Awaiting Review
147,Рулька,2965,493,Мясо,"Помогает поддерживать нормальный уровень танинов, веществ, обладающих вяжущими и антисептическими свойствами.",2022-01-12,2023-01-25,3.64,Temporarily Unavailable
148,Ведро для мытья полов,794,395,Товары для дома,"Отличается высоким содержанием фосфора, необходимого для здоровья зубов и костей.",2000-01-17,2016-04-15,2.28,Returned
149,Пакеты для микроволновки,1519,156,Товары для дома,"Отличается высоким содержанием пробиотиков, улучшающих микрофлору кишечника.",2001-02-09,2025-02-01,0.18,Cancelled
150,Печень,3831,172,Мясо,Отличается высокой питательностью и способен быстро утолить голод.,2007-05-02,2023-04-02,0.96,Pending
151,Coca-Cola Zero,684,440,Напитки,Помогает улучшать качество сна и снижать уровень тревожности.,2007-01-03,2030-01-16,3.77,Temporarily Unavailable
152,Подушки,8926,266,Товары для дома,Часто рекомендуется врачами-диетологами как часть здорового питания.,2022-04-15,2025-06-16,2.44,Delivered
153,Вологодская,7628,564,Напитки,"Помогает поддерживать нормальный уровень дигидротестостерона, гормона, отвечающего за половое созревание у мужчин.",2007-03-07,2027-03-04,1.78,In Stock
154,Турнепс,8592,765,Овощи,Помогает предотвратить дефицит витаминов и минералов в организме.,2006-04-10,2020-09-02,3.29,Sold
155,Кастрюли,4687,688,Товары для дома,Помогает поддерживать нормальный уровень артериального давления.,2007-01-12,2030-01-08,4.29,In Stock
156,Адыгейский сыр,9889,930,Молочные продукты,Помогает регулировать уровень сахара в крови и предотвращать резкие скачки инсулина.,2010-11-01,2022-03-12,3.82,Returned
157,Нафтуся,916,204,Напитки,"Подходит для использования в диетах, направленных на снижение веса.",2001-07-04,2021-07-13,4.62,Awaiting Payment
158,Пакеты для фестиваля,9660,433,Товары для дома,"Подходит для людей, следящих за своим весом, благодаря низкому содержанию калорий.",2012-07-12,2023-01-02,4.13,Available for Pickup
159,Базилик сушеный,2351,567,Бакалея,Помогает поддерживать оптимальный вес и форму тела.,2000-03-12,2026-04-03,0.44,Refunded
160,Спаржа,2256,596,Овощи,Отличается легкостью в переваривании и усвоении организмом.,1997-01-08,1999-01-02,2.05,Temporarily Unavailable
161,Хабаровская,9162,671,Напитки,Помогает поддерживать нормальный уровень гомоцистеина в крови.,2006-01-01,2015-06-02,4.44,Pending
162,Пакеты для пикников,2136,991,Товары для дома,Отличается высокой степенью адаптации к индивидуальным потребностям организма.,2006-02-05,2022-02-08,1.46,Available for Pickup
163,Кофе молотый,8326,818,Бакалея,"Отличается высоким содержанием ниацина, необходимого для здоровья кожи и пищеварения.",2001-09-02,2007-01-24,0.02,Pending
164,Горох,4488,553,Овощи,Отличается универсальностью применения в кулинарии и пищевой промышленности.,2022-03-19,2023-02-08,3.29,In Stock
165,Хамон,1512,329,Мясо,"Отличается высоким содержанием омега-3 жирных кислот, полезных для сердца.",1990-01-10,2006-06-07,0.67,In Stock
166,Чай черный,6464,29,Напитки,Помогает поддерживать нормальный уровень сахара в крови.,2003-02-09,2015-02-12,0.03,In Stock
167,Челябинская,3912,422,Напитки,"Помогает поддерживать нормальный уровень сапонинов, веществ, способствующих снижению уровня холестерина.",2011-01-07,2014-04-10,1.72,Shipping
168,Сервелат,176,109,Мясо,"Отличается высоким содержанием меди, необходимой для синтеза коллагена и эластина.",1993-03-01,2019-01-08,2.97,Temporarily Unavailable
169,Мандарин,6272,270,Фрукты,Представляет собой ценный источник питательных веществ для растущего организма.,2019-04-09,2021-03-14,1.16,Refunded
170,Манго,9195,925,Фрукты,Помогает снизить риск развития сердечно-сосудистых заболеваний.,1996-04-13,2028-01-05,1.44,Backorder
171,Геркулес,7648,770,Бакалея,"Помогает поддерживать нормальный уровень адреналина, гормона стресса и возбуждения.",2008-04-10,2026-06-05,3.24,New
172,Слива,5989,628,Фрукты,Помогает поддерживать нормальное функционирование печени и желчного пузыря.,2007-01-08,2023-02-13,1.39,Cancelled
173,Фахитас с мясом,1611,229,Мясо,Может использоваться в детском питании начиная с раннего возраста.,2013-04-01,2014-03-17,1.73,On Backorder
174,Алуштинская,8849,326,Напитки,Может быть использован в качестве заменителя менее полезных продуктов.,2012-09-07,2016-04-07,3.15,In Stock
175,Персик,9874,311,Фрукты,Подходит для использования в рецептах традиционной кухни разных стран.,1992-06-01,1994-09-13,4.41,Shipping
176,Мускатный орех молотый,2320,510,Бакалея,"Отличается высоким содержанием мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2019-06-04,2030-10-20,1.75,In Stock
177,"Орехи (грецкий орех, миндаль, фундук)",4429,957,Бакалея,"Отличается высоким содержанием даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2015-07-18,2023-01-01,1.62,Cancelled
178,Шпик,3793,128,Мясо,Помогает поддерживать нормальный обмен веществ и метаболизм.,2007-10-01,2016-01-01,0.2,Temporarily Unavailable
179,Грудинка копченая,9643,359,Мясо,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2000-04-06,2015-04-16,0.48,Returned
180,Сушеные грибы,1810,783,Бакалея,"Отличается высоким содержанием апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2018-06-12,2029-09-02,4.9,Cancelled
